Nationality;Discipline;Last Name;First Name;Age
ESP;EQU;GARCIA ROQUE;ISMAEL;44
ESP;HBL;CASADO;AGUSTIN;29
ESP;HOC;MENINI;JOAQUIN;34
ESP;HOC;STRAPPATO;JULIA;25
ESP;OWS;DE VALDES ALVAREZ;MARIA;27
ESP;ROW;CANALEJO PAZOS;JAIME;34
ESP;ROW;CID I CENTELLES;AINA;31
ESP;SWM;WEILER SASTRE;CARMEN;21
ESP;TEN;ALCARAZ;CARLOS;22
ESP;WPO;DE TORO DOMINGUEZ;MIGUEL;32
ESP;WPO;LORRIO;EDUARDO;32
ESP;WPO;GARCIA GODOY;MAICA;35
EST;SWM;ZIRK;KREGOR;26
ETH;ATH;AREGAWI;BERIHU;24
ETH;ATH;YIHUNE;ADDISU;22
ETH;ATH;ALEMU;MEGERTU;28
FIJ;RU7;RASAKU;KAMINIELI;26
FIN;ATH;MAATTANEN;EVELIINA;30
FIN;GLF;VALIMAKI;SAMI;27
FRA;ARC;CORDEAU;AMELIE;20
FRA;ATH;DARU;NICOLAS-MARIE;37
FRA;ATH;ZEZE;MEBA MICKAEL;31
FRA;ATH;VEYSSIERE;MARJORIE;29
FRA;BDM;QI;XUEFEI;33
FRA;BOX;ZIDANI;AMINA;32
FRA;CTR;HELAL;RAYAN;26
FRA;CTR;THOMAS;BENJAMIN;30
FRA;FEN;APITHY;BOLADE;40
FRA;FEN;BALZER;SARA;30
FRA;JUD;KHYAR;WALIDE;30
FRA;RU7;DEZOU;LILI;21
FRA;SAL;PICON;CHARLINE;41
